Auto_payment_id,Linked Loan Account
100001,15000000034
100002,15000000041
100003,15000000027
100004,15000000029
100005,15000000013
100006,15000000014
100007,15000000035
100008,15000000043
100009,15000000015
100010,15000000048
100011,15000000005
100012,15000000012
100013,15000000046
100014,15000000007
100015,15000000039
100016,15000000002
100017,15000000023
100018,15000000003
100019,15000000022
100020,15000000001
100021,15000000049
100022,15000000038
100023,15000000021
100024,15000000047
100025,15000000017
100026,15000000008
100027,15000000009
100028,15000000031
100029,15000000010
100030,15000000011
100031,15000000033
100032,15000000006
100033,15000000016
100034,15000000025
100035,15000000036
100036,15000000000
100037,15000000026
100038,15000000042
100039,15000000044
100040,15000000032
100041,15000000040
100042,15000000019
100043,15000000024
100044,15000000045
100045,15000000037
100046,15000000018
100047,15000000020
100048,15000000030
100049,15000000028
100050,15000000004
